a sotre ne,,,,FOR STOCK:,,,,,,
,,,,,,,,,,
Date,Description,Warehouse Notes,,Date,SKU,Item Name,Size,How many?,WH Notes,Store Notes - eg: Need to be put out? 
10.08.26,"Button batteries for Sassi Sound Book - In the Sky and Sassi Sound Book - In the Savannah. Both books the sound is no longer working.
Requires DC1.5Vx3 batteries for each book",,,18.08.26,,Orbitkeys + Orbitkey accessories ,,restock request,,"Would be good to have a nice range available for Father's Day coming up.
5 emtpty spots on the display in store."
,,,,20.08.26,,"Making Tram - Hong Kong, Istanbul &  Melbourne",,restock request,,Another good product to have more of for Father's Day
