2000575029008,COMMUNICATION BOOK / NOTICES - Please initial once you have read ,Images,Lyn,Emma B,Sayba,Yanna,Lucy,Victoria,Angie,Andy,Alex,Tammy
30/10,Xmas pashom and spare bakery plush in Cabinet X,,ls,EB,,,,,al,,,rp
,,,,,sz,,,,,,,
24/10,New face mugs (BRUT CAKE) in Cabinet 10 + their empty boxes (in the container) // Additional Urban products / Robert Gordon / Jones and co etc. In Cabinet E,,ls,EB,sz,,,,al,,,rp
,,,,,,,,,,,,
20/10/25,More Christmas candles and Perdy Parrot Bud Vase in cabinet 6! Please put them out after they’re sold !,,ls,EB,sz,,,,al,,,rp
,,,,,,,,,,,,
13/10/25,if keyboard stops switch usb ports or refresh computer (wasn't working all day) :),,ls,EB,sz,,,,,,,rp
,,,,,,,,,,,,
10/10/25,Please Complete Daily Tasks including all the dusting!!,,ls,EB,sz,,,,,,,rp
,,,,,,,,,,,,
9/10/25,"New MT earring/studs in the Jewellery Case, spares are in the Short Story box in the cashier drawers :)",,ls,EB,sz,,,,,ah,,rp
,,,,,,,,,,,,
7/10/25,There are more of the christmas tree tree decoartions and sitting christmas trees in cupboard 11! Kaew asked that we only put out 3 of each at one time.,,ls,EB,sz,,,,,ah,,rp
,,,,,,,,,,,,
29/9/25,Thanks to the person who made the IZIPIZI collection guide <3,,ls,EB,,,,,,ah,,rp
,,,,,,,,,,,,
17/09/25,extra hair clip in cabinet X,,ls,EB,sz,,,,al,ah,,rp
,,,,,,,,,,,,
16/09/25,Prices have changed for the Eugy 3D paper models and Halcyon Nights items!,,ls,EB,sz,,,,al,ah,,rp
,,,,,,,,,,,,
10/9/25,extra stands and pinboard metal hooks in cupboard g with paper bags. pls dont put heavy stuff ontop of wrapping paper it tears,,ls,EB,,,,,al,ah,,rp
,,,,,,,,,,,,
06.09.25,please rremember to order bubble wrap when there's just a little left',,ls,EB,,,,,al,ah,,rp
,,,,,,,,,,,,
4/9/25,Hey cool cats we have new felt items in the store (Ice creams/baked goods/cupcakes) barcodes start with FP or you can find them searching felt and scrolling to the bottom :),,ls,EB,,,,,al,ah,,rp
,,,,,,,,,,,,
04/09/25,Hey cool cats (2) we have new acrylic hair clips in - they are all $24 - there's a barcode on the top of the screen but incase that goes missing the code is AHC007,,ls,EB,,,,,al,ah,,rp
,,,,,,,,,,,,
01/09/25,People working Sunday nights please remember to add the daily cash takings to the spreadsheet thx,,ls,EB,,,,,al,ah,,rp
,,,,,,,,,,,,
24.08.25,"Hi just completed stock transfer on paper list (everything arrived, marked completed in Cin7, kaew said not to worry about scanning the list but will learn how to asap) -Rel",,ls,EB,sz,,,,al,ah,,
,,,,,,,,,,,,
