2000575029008,COMMUNICATION BOOK / NOTICES - Please initial once you have read ,Images,Lyn,Emma B,Sayba,Yanna,Lucy,Victoria,Angie,Andy,Alex,Tammy
25.10.24,"Hey everyone! I had two customers return broken glass products the past two days. If there is time, please check the products with them, to make sure they are good before they leave the store. ",,ls,EB,sz,yl,la,vc,,,,
23.10.24,hello! I have cleaned up the wrapping paper cupboard (removed all crumpled scraps of paper from sides + back) please keep it tidy :),,ls,EB,sz,,,vc,,,,
3/10/24,"Hi guys, the internet is now connected through an ethernet cable. WIFI ISSUE SOLVED!!!",,,,,yl,la,,,,,
1.10.24,there is a new eftpos login and email now that we have a new eftpos machine ,,ls,EB,sz,,,vc,,,,
26.09.24,"Hello, when bags are running low, please request more in ""Store needs & Daily Notes"" Thanks!",,,,,yl,la,,,,,
,,,ls,EB,"sz,  ",,,vc,,,,
22.09.23,"Hi Everyone, Kaew is going overseas from the 24th September and will be back on 11th October. Feel free to ontact me as I will work as normal except please use WhatsApp if you need to call so you do not get extra charge.",,,,,yl,la,,,,,
,,,ls,EB,sz,,,vc,,,,
20.09.24,"heyaa, just to let you guys know, the men (in container) and women tees (in cardboard boxes) are sorted in sizes. the kids tees, puffer jacket and raincoats are in seperate cabinet, so please don't just chuck everything randomly. you can find which items in which cabinets on the ""cabinet ref"". lets have a clean and organized workspace. thanks",,,,,yl,la,,,,,
,,,ls,EB,sz,,,vc,,,,
19/09/24,"Hi, if the wifi keeps dropping out just connect to Melbourne Free Wifi temporarily, and let Lance know (also you have to reconnect to the free wifi every 15 minutes or so, so keep an eye out)",,,,,yl,la,,,,,
,,,ls,EB,sz,,,vc,,,,
12.09.24,please price items,,,,,yl,la,,,,,
,,,ls,EB,sz,,,vc,,,,
12.09.24," i have arranged the music boxes, mushroom and wooderful life according to their design, please don't just chuck them, thank you",,,,,yl,la,,,,,
,,,LS,EB,sz,yl,,vc,,,,
6.09.24,"Hello, if vacuum is turning off and on when you are trying to use it, this means that the vacuum is full. Empty out of the vacuum and it should be gooooood to goooooo.",,ls,EB,sz,,la,vc,,,,
,,,,,,yl,,,,,,
27.8.24,tiler coming in on friday to measure,,ls,,sz,,la,vc,,,,
23/8/24,"Extra ""Little bird tea set"" x2 are in cupboard X if you are looking for them.  
         Also I have put extra money bags with the pricing equipment",,,,,yl,,,,,,
,,,ls,EB,sz,,,vc,,,,
19.08.24,fire extinguisher and fire blanket to be delivered this week. please leave in store when it arrives. also tiles being grouted soon.,,,,,yl,la,,,,,
,,,ls,EB,sz,yl,la,,,,,
17.08.24,extra orbit key items are behind the stand (inside it),,ls,EB,sz,,,vc,,,,
,,,,,,,,,,,,
16.08.24,Please fix the card spacing on the all tomorrow if you could  some ares are emty and some have to many cards) ! Thanks. Also wanted to update that the parking tickets are beside the computer now!,,,,,,,,,,,
15.08.24,New card spinner stand!!! Only specific brands can go on this stand. I will add the details in the reference file for you.,,,,,,,,,,,
,E.Frances paper,,,,,,,,,,,
,Ohh Deer,,,,,,,,,,,
,Badger & Burke,,,,,,,,,,,
,Cath Kidston,,,,,,,,,,,
,Hello Sunday (Dont think you have them in store yet),,,,,yl,la,,,,,
,Niaski,,ls,EB,sz,,,vc,,,,
,Red Cap,,,,,yl,la,,,,,
,,,ls,EB,sz,yl,la,,,,,
15.08.24,There are a lot of new prducts add on sale. Please make sure you put the sale sticker  on them and group them in one area.,,ls,EB,sz,yl,la,,,,,
,,,ls,EB,sz,yl,la,,,,,
11..08.24,"I mopped and vacummed - myself today, on a Sunday morning. The floor needed it. Again, this is a daily duty...so please ensure you do your job. ",,ls,EB,sz,yl,la,,,,,
11.08.24,"It is mandatory to wear your Monsterthreads staff badge. There aretwo instore and ill send more. This is my warning, if i find someone NOT wearing the staff name badge, unfortunately i will need to take appropriate consequences. Ive seen too many times - staff not wearing them",,Ls,EB,sz,,,,,,,
11.08.24,"I have brought a mirror - so customers can see themselves, if they try on garments. Its situated next to cupbaord J. Thats in between the nanoblock peg wall anf the cermaics. Its in the crack, and folds up nicely.",,,,,yl,la,,,,,
11.08.2024,"Team, Its Lance. A couple of things please. I will tryfix the cash drawer, but in the interim - i have made a ''old fashioned'' cash till which is  Monsterthteads box. All coins are in seperate bags - so keep it orgamised, fr the next week, whilst i fix the till. ",,Ls,EB,sz,,,,,,,
05.08.24,"heya, when doing customer request, please make sure you write the items and its sku on the ""CUSTOMER REQUEST"" (For MT staff to see) and ""STORE NEEDS AND DAILY NOTES"" (for warehouse to see that you need them)",,,,,yl,la,,,,,
,,,Ls,EB,sz,,,,,,,
4.08.24,"Hold items - Please date when the customer wants to come in, if they dont come 2/3 days after that please put the stock back on shelf.",,,,,yl,la,,,,,
,,,Ls,EB,sz,,,,,,,
4.08.24,Please price the products before you put them on shelves. - Customers constantly bring the products to the counter and ask.,,,,,yl,la,,,,,
,,,Ls,EB,sz,,,,,,,
3.08.24,Please group the greet cards by brands so the sizes are the same and it looks neat.,,,,,yl,la,,,,,
,,,Ls,EB,sz,,,,,,,
3.08.24,Broken/ faulty stock  - please email me with photo as i can claim this with the supplier. or i can adjust thtme for you. Do not leabe them in the cabinet. - Kaew,,,,,yl,la,,,,,
,,,Ls,EB,sz,,,,,,,
3.08.24,Just want to remind everyone again - please DO NOT security tags the happy socks. I left the communication here before however I noticed someone still keep tagging them. We should put the Happy socsk stand right near the near door not in the middle inside the store. kaew.,,,,,yl,la,,,,,
,,,Ls,EB,sz,,,,,,,
2.08.24,Make sure you do not put same items on windown display. Noticed there were 4 of the same design of cup & saucer out.,,,,,yl,la,,,,,
,,,Ls,EB,sz,,,,,,,
2.08.24,Just want to remind everyone to check the cabinet. There are quite a lot of stock in there that were not on display. ,,,,,yl,la,,,,,
,,,Ls,EB,sz,,,,,,,
1.08/24,"Hi, please remember to charge he vaccuum head after use, (the battery dies very quickly))",,,,,yl,la,,,,,
,,,security tag as well pls,EB,sz,,,,,,,
29.07.24,"Helloo, if anyone is free can you dust the front shelf display? (music box shelf and robert gordon mugs shelf, thank youu)",,,,,yl,la,,,,,
,,,Ls,EB,sz,,,,,,,
20/07/24,PLEASE make sure to check before pricing items! Mistagged items are not recieved well by customers,,,,,yl,la,,,,,
,,,Ls,EB  this is helpful thx!,sz,,,,,,,
20.07.24,"Heyo, there is 1 glass tumbler from Enchanted Garden. I think the other was stolen, so selling indivually on sale. Please keep in the sale area near the white porcelain koalas. ",,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
16.07.24,"Heya, i made a guide on how to ""count coin rolls"" some of you guys have been counting coins in a different way, and there's no right and wrong way to do so. But i found doing this one is much more easier, hope it helps :)",,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
15.07.24,Please use the large bags just for big plush as warehouse wouldn't be able to send anymore of the large bags anytime soon,,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
10.07.24,"heya, Lance is going to pop by soon, can u please remind him to take the broken stocks with him. they are all together in on hold shelf. (the dog plush, beanie, onesies, tee, rotating projector lamp) ",,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
29.06.24,please don't security tag books unless they have a plastic cover,,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
24.06.24,"when doing customer request, please make sure you check whether we have the items in the warehouse. If there are no more stocks, please do not do customer request as we don't know when or whether the warehouse will be restocking them. If you are unsure about the amount of stocks, please chat with Kaew or the warehouse ""monsterthreads orders"" on hangouts",,,,,,la,,,,,
,,,LS,EB,sz,,,,,,,
20/06/24,"When stock of tee shirts arrive, please leave the shirts in their individual plastic bags, especialy white shirts as they could get dusty/dirty. ",,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
20/06/24,"QV Parking validation tickets I have placed below the register in the drawer that says, MISC ITEMS.",,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
19/06/24,Please date on hold item - put back on shelf after it passes the date.,,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
19/06/24,If you can turn off the speaker from the computer you can just say - Hey Alexa : Stop.,,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
17.06.24,please check prices before tagging. Customers get angry for mistagged goods,,,,,,,,,,,
,,,LS,EB,,,,,,,,
14.06.24,"Hello, i've marked the cabinet alphabetically and add a spreadsheet ""cabinet ref"" to mark what is inside each cabinet. These are work in progress and still can be changed around :)",,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
6/13/24,Quarterly Fire Testing - Scheduled for Saturday 15th of June 2024 8:00-4:00PM,,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
12/6/24,After you read the comunication please inital your name.,,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
12/6/24,DO NOT pin the garment through the seam as the pin will damage the cloth - however some you cant tag between the seam so please tag somewhere that wont damage the garment. Thanks  ,,,,,yl,la,,,,,
,,,LS,EB,sz,,,,,,,
07/06/24,DO NOT put security tags within 1.5m of the security gates. Cant tags the clothing that hang on the cabitnet next to the gate an also all the items on the left of the music box display.,,,,,yl,la,,,,,
,,,weeee finallyy,EB,sz,,,,,,,
7/6/24,Turn on music from Spotify - click the speaker icon on the bottom left then select everywhere,,,,,,,,,,,
,,,,,,,,,,,,
5/6/24,Hello and welcome to the new QV store!!!! - Kaew,,,,,,,,,,,
